"FI.10_0.01","FI.10_0.05","FI.10_0.1","FI.10_0.15","FI.10_0.2","FI.10_0.3","FI.20_0.01","FI.20_0.05","FI.20_0.1","FI.20_0.15","FI.20_0.2","FI.20_0.3","FI.5_0.01","FI.5_0.05","FI.5_0.1","FI.5_0.15","FI.5_0.2","FI.5_0.3","FI200_0.01","FI200_0.05","FI200_0.1","FI200_0.15","FI200_0.2","FI200_0.3","FI40_0.01","FI40_0.05","FI40_0.1","FI40_0.15","FI40_0.2","FI40_0.3","FI80_0.01","FI80_0.05","FI80_0.1","FI80_0.15","FI80_0.2","FI80_0.3"
0.0555555555555556,0.1,-0.0909090909090909,0.02,-0.16,-0.409090909090909,-0.0777777777777778,-0.00384615384615385,-0.025,-0.253333333333333,-0.441860465116279,-0.220238095238095,0,0,0,-0.1,0.222222222222222,0.00961538461538462,0.117264150943396,-0.103244577675895,-0.767137096774194,-0.32520325203252,-0.0208,0.00334821428571429,0,-0.175609756097561,-0.275910364145658,-0.628640776699029,-0.295,0.60377358490566,0.144444444444444,-0.0214707461084273,-0.309090909090909,-0.442697768762677,-0.452674897119342,-0.402197802197802
-0.141414141414141,-0.101010101010101,0.157142857142857,-0.0404040404040404,-0.153846153846154,-0.109090909090909,-0.075187969924812,0.0794117647058823,-0.138528138528139,-0.283524904214559,-0.266666666666667,-0.35,0,0,0.133333333333333,-0.0555555555555556,-0.1,0.15,-0.0215003252150033,-0.371756756756757,-0.488416988416988,-0.333487940630798,-0.341820310213638,-0.214677640603567,0,-0.0978723404255319,-0.141906873614191,-0.333333333333333,0,-0.407608695652174,-0.224709302325581,-0.38510101010101,-0.687728937728938,-0.406311637080868,-0.529478458049887,0.112280701754386
0,0.0416666666666667,-0.0777777777777778,-0.242857142857143,0,0.102564102564103,-0.151515151515152,-0.0375,-0.180555555555556,-0.333333333333333,-0.201298701298701,-0.0666666666666667,0.0833333333333333,0,0.2,-0.121212121212121,-0.133333333333333,0.8,-0.195577667219458,-0.451184834123223,-0.352427184466019,0.153930131004367,-0.359580052493438,-0.33652312599681,-0.0237179487179487,-0.0496124031007752,-0.0398936170212766,-0.0775193798449612,-0.356862745098039,0.108695652173913,-0.146323529411765,-0.098310291858679,0.98989898989899,-0.613636363636364,-0.517241379310345,-0.460952380952381
0.0333333333333333,-0.136363636363636,0,0.133333333333333,-0.25,-0.0512820512820513,0.204545454545455,-0.173245614035088,-0.285714285714286,-0.282407407407407,-0.05,-0.336231884057971,0,-0.133333333333333,0.4,-0.0740740740740741,-0.0740740740740741,0,-0.32025894897182,-0.60310421286031,-0.43227455275648,-0.0574162679425837,-0.350386455649614,-0.00343347639484979,-0.0277777777777778,0.0658263305322129,0.025,-0.295180722891566,0.529411764705882,-0.48,0.0936475409836066,-0.111842105263158,0.294396961063628,-0.493304930006086,-0.03125,-0.348214285714286
-0.0333333333333333,-0.025,-0.173076923076923,-0.113636363636364,0.14,-0.333333333333333,-0.0333333333333333,-0.146520146520147,-0.19047619047619,-0.431034482758621,0.113636363636364,0.138461538461538,0,0.8,0,-0.0833333333333333,-0.1,0,-0.566801619433198,-0.44849537037037,-0.301663982823403,-0.473275862068965,-0.0603960396039604,-0.358271375464684,-0.0806878306878307,-0.0401891252955083,-0.0785714285714286,-0.175609756097561,-0.517543859649123,-0.58125,-0.302772808586762,-0.0950471698113208,-0.203437588052973,-0.290441176470588,-0.124909222948439,-0.48548199767712
-0.0111111111111111,0.3,-0.0727272727272727,-0.25,-0.113636363636364,-0.0666666666666667,-0.0366666666666667,-0.149333333333333,-0.376068376068376,0.0952380952380952,-0.148148148148148,-0.0972222222222222,0,0.1,0,-0.1,-0.225,-0.0833333333333333,-0.774048607801756,-0.0907114010562286,-0.682895579756566,-0.647875816993464,-0.426105717367853,-0.340790683420165,0.0118421052631579,-0.0490956072351421,-0.121875,-0.507575757575758,0.263888888888889,-0.583505154639175,-0.114285714285714,-0.330084470435348,-0.553333333333333,-0.364906832298137,-0.542592592592593,-0.0551724137931034
0.0777777777777778,0.14,-0.075,0.128571428571429,0.181818181818182,-0.0307692307692308,0.0772727272727273,0.1,-0.03125,-0.0984848484848485,-0.305555555555556,-0.590909090909091,-0.1,-0.166666666666667,0,0,0,-0.214285714285714,0.00938356164383562,-0.442864953526517,-0.287644444444444,-0.516135379771743,-0.378014000518538,0.0435185185185185,-0.0421052631578947,-0.127131782945736,-0.266666666666667,-0.136627906976744,-0.347435897435897,-0.399092970521542,-0.598447424135498,-0.21551724137931,-0.608730158730159,-0.640859140859141,-0.456608811748999,-0.568181818181818
0.1,-0.155844155844156,0.0777777777777778,-0.0142857142857143,0.7,-0.05,-0.0366666666666667,-0.0476190476190476,-0.0346153846153846,-0.10989010989011,-0.296875,-0.423076923076923,-0.133333333333333,0,0,0.2,-0.1,0,-0.181274509803922,-0.0239300506212609,-0.355297157622739,-0.43324432576769,-0.482190324295587,-0.0580558055805581,-0.0705882352941176,0.0596153846153846,-0.292,-0.25,-0.463157894736842,-0.195402298850575,0.105400696864111,-0.172678888231815,-0.609278350515464,-0.486344537815126,-0.348901098901099,-0.295133437990581
-0.075,0.0681818181818182,0.1,-0.125,0.151515151515152,-0.366013071895425,0.0566666666666667,-0.161490683229814,-0.0566666666666667,-0.15,-0.423728813559322,-0.662637362637363,0,0,-0.1,-0.3,0,-0.205128205128205,-0.0341109453411095,-0.169154228855721,0.126,-0.529222011385199,-0.465753424657534,-0.500960219478738,-0.00961538461538462,-0.109259259259259,-0.0934959349593496,-0.639367816091954,-0.336734693877551,0.223255813953488,-0.23653962492438,-0.374309793664632,-0.362654320987654,-0.140197152245345,-0.14018691588785,-0.641242937853107
0.0777777777777778,0,-0.0625,0.26,-0.157142857142857,-0.39375,0.00789473684210526,0.225,-0.227777777777778,-0.0388888888888889,-0.21505376344086,-0.297734627831715,0,-0.1,-0.133333333333333,0,0,-0.166666666666667,-0.100243902439024,-0.642588777117925,-0.526948590381426,0.0523399014778325,-0.402728351126928,-0.187793427230047,-0.025,-0.295555555555556,-0.590659340659341,-0.338709677419355,-0.410714285714286,-0.165094339622642,0.107142857142857,-0.220999405116002,-0.554597701149425,-0.657391304347826,-0.265625,-0.21978021978022
